burial,sex,total.no.teeth,no.molars,no.premolars,no.anterior,n.molars.caries,n.premolars.caries,n.anterior.caries,molars.leh,premolars.leh,anterior.leh,total.leh,n.teeth.calculus,molars.calculus,premolars.calculus,anterior.calculus,total.calculus,molars.attrition,premolars.attrition,anterior.attrition,total.attrition,molar.att.n.molars,no.molars.1,site
12,M,3,0,3,0,0,1,NA,5,0,NA,5,0,NA,0,NA,0,NA,14,NA,14,NA,0,Kanna
29,M,5,3,1,1,0,0,0,0,0,1,1,4,3,0,1,4,48,2,3,53,16,3,Kanna
36,M,4,4,0,0,1,NA,NA,0,NA,NA,0,4,4,NA,NA,4,56,NA,NA,56,14,4,Kanna
31,M,3,3,0,0,0,NA,NA,3,NA,NA,3,3,3,NA,NA,3,24,NA,NA,24,8,3,Kanna
No number,M,2,0,2,0,NA,1,NA,NA,0,NA,0,2,2,NA,NA,2,NA,13,NA,13,NA,0,Kanna
18,M,2,2,0,0,0,NA,NA,0,NA,NA,0,2,2,NA,NA,2,40,NA,NA,40,20,2,Kanna
13,M,6,4,2,0,1,0,NA,0,0,NA,0,3,3,0,NA,3,77,9,NA,86,19.25,4,Kanna
66,M,1,0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Kanna
2,M,6,3,2,1,1,1,0,1,0,0,1,NA,0,0,0,0,44,11,6,61,14.66,3,Kanna
8,M,1,1,0,0,0,NA,NA,0,NA,NA,0,1,1,NA,NA,1,23,NA,NA,23,23,1,Kanna
17,M,4,4,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,4,Kanna
13,M,3,3,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,51,NA,NA,51,17,3,Kanna
20,M,1,0,1,0,NA,1,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,Kanna
37,M,1,0,1,0,NA,0,NA,NA,0,NA,0,1,NA,1,NA,1,NA,7,NA,7,NA,0,Kanna
10,M,3,0,3,0,NA,0,NA,NA,1,NA,1,2,NA,2,NA,2,NA,16,NA,16,NA,0,Kanna
57,M,5,3,1,1,0,0,0,0,0,1,1,5,4,1,1,6,58,3,4,65,19.33,3,Kanna
74,M,2,0,1,1,NA,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,6,6,NA,0,Kanna
71,M,2,0,0,2,NA,NA,2,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,2,2,NA,0,Kanna
81,M,4,3,1,0,2,0,NA,0,0,NA,0,NA,0,0,NA,0,73,4,NA,77,24.33,3,Kanna
3,M,1,0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Kanna
27,M,4,3,1,0,0,1,NA,0,0,NA,0,4,3,1,NA,4,52,4,NA,56,17.33,3,Kanna
27,M,1,1,0,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,39,NA,NA,39,39,1,Kanna
39,M,1,0,1,0,NA,1,NA,NA,1,NA,1,0,NA,0,NA,0,NA,2,NA,2,19.325,0,Kanna
87,M,1,0,1,0,NA,1,NA,NA,1,NA,1,0,NA,0,NA,0,NA,2,NA,2,NA,0,Kanna
21,F,5,4,1,0,1,0,NA,0,0,NA,0,4,7,3,NA,10,70,3,NA,73,17.5,4,Kanna
20,F,4,2,2,0,0,0,NA,0,0,NA,0,NA,0,0,NA,0,24,4,NA,28,12,2,Kanna
1,F,3,0,2,1,NA,1,0,NA,0,0,0,NA,NA,0,0,0,NA,11,6,17,NA,0,Kanna
5,F,2,0,2,0,NA,2,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,6,NA,6,NA,0,Kanna
11,F,3,3,0,0,0,NA,NA,0,NA,NA,0,3,3,NA,NA,3,36,NA,NA,36,12,3,Kanna
10,F,2,1,0,1,1,NA,0,0,NA,0,0,NA,0,NA,0,0,24,NA,6,30,24,1,Kanna
12,F,3,0,2,1,NA,0,0,NA,0,0,0,3,NA,2,1,3,NA,2,2,4,NA,0,Kanna
16,F,7,5,2,0,1,0,NA,1,0,NA,1,5,3,2,NA,5,82,6,NA,88,16.4,5,Kanna
12,F,3,2,0,1,0,NA,0,0,NA,0,0,NA,0,NA,0,0,16,NA,2,18,8,2,Kanna
28,F,2,1,1,0,1,1,NA,0,NA,NA,0,NA,0,NA,NA,0,22,NA,NA,22,22,1,Kanna
4,F,10,5,3,2,0,0,0,3,2,2,7,NA,0,0,0,0,77,8,4,89,15.4,5,Kanna
1,F,1,1,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,22,NA,NA,22,22,1,Kanna
6,F,1,0,1,0,NA,1,NA,NA,0,NA,0,1,NA,1,NA,1,NA,5,NA,5,NA,0,Kanna
8,F,3,2,1,0,0,0,NA,0,0,NA,0,2,1,1,NA,2,24,3,NA,27,12,2,Kanna
6,F,3,2,1,0,2,1,NA,0,0,NA,0,NA,2,1,NA,3,58,5,NA,63,29,2,Kanna
83,F,4,4,0,0,0,NA,NA,1,NA,NA,1,NA,0,NA,NA,0,46,NA,NA,46,11.5,4,Kanna
25,F,4,2,2,0,0,0,NA,0,0,NA,0,1,1,0,NA,1,35,6,NA,41,17.5,2,Kanna
27,F,1,1,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,0,36,NA,NA,36,36,1,Kanna
30(1),F,6,5,1,0,4,0,NA,1,0,NA,1,0,0,0,NA,0,80,4,NA,4,16,5,Kanna
30,NA,1,0,1,0,NA,1,NA,NA,0,NA,0,1,NA,1,NA,1,NA,2,NA,2,NA,0,Kanna
7,NA,1,0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Kanna
14,NA,1,0,1,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,2,NA,2,NA,0,Kanna
36,NA,1,1,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,17,NA,NA,17,17,1,Kanna
17,NA,5,2,3,0,1,0,NA,0,0,NA,0,NA,0,0,NA,0,37,11,NA,48,18.5,2,Kanna
5,NA,6,2,3,1,0,0,0,1,0,0,1,1,1,0,0,1,44,15,3,62,22,2,Kanna
25,NA,5,4,1,0,1,0,NA,1,0,NA,1,NA,0,0,NA,0,56,2,NA,58,14,4,Kanna
S34,M,2,1,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,16,4,NA,20,16,1,Nagabaka
S28,M,6,4,2,0,1,0,0,NA,NA,NA,NA,6,4,2,0,6,80,6,0,86,20,4,Nagabaka
S24,M,2,1,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,1,Nagabaka
S9,M,3,3,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,36,NA,NA,36,12,3,Nagabaka
58,M,2,1,0,1,0,0,1,0,0,1,1,NA,0,NA,0,0,32,NA,6,38,32,1,Nagabaka
59,M,3,3,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,96,NA,NA,96,32,3,Nagabaka
53,M,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,78,NA,NA,78,39,2,Nagabaka
S56,M,5,4,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,2,NA,106,26,4,Nagabaka
