site,burial,sex,hypoplasia.frequency,calculus.frequency,attrition.average
Kanna,1,F,0,0,5.666666667
Kanna,1,F,0,0,22
Kanna,10,F,0,0,15
Kanna,11,F,0,1,12
Kanna,12,F,0,1,1.333333333
Kanna,12,F,0,0,6
Kanna,13,M,0,0.5,14.33333333
Kanna,13,M,0,0,17
Kanna,14,NA,0,0,2
Kanna,17,M,0,0,NA
Kanna,17,NA,0,0,9.6
Kanna,18,M,0,1,20
Kanna,20,M,0,0,NA
Kanna,20,F,0,0,7
Kanna,21,F,0,2,14.6
Kanna,25,F,0,0.25,10.25
Kanna,27,M,0,1,14
Kanna,27,F,0,0,36
Kanna,28,F,0,0,11
Kanna,30,NA,0,1,2
Kanna,36,M,0,1,14
Kanna,36,NA,0,0,17
Kanna,37,M,0,1,7
Kanna,5,F,0,0,3
Kanna,6,F,0,1,5
Kanna,6,F,0,1,21
Kanna,71,M,0,0,1
Kanna,74,M,0,0,3
Kanna,8,M,0,1,23
Kanna,8,F,0,0.666666667,9
Kanna,81,M,0,0,19.25
Kanna,No number,M,0,1,6.5
Nagabaka,?6,M,0,0,24
Nagabaka,15,M,0,0.333333333,32
Nagabaka,15B,F,0,0,14.75
Nagabaka,15C,F,0,0,26
Nagabaka,17,F,0,0,20
Nagabaka,18,M,0,0,28
Nagabaka,19,F,0,0,8
Nagabaka,21,F,0,0,20
Nagabaka,23,M,0,NA,14
Nagabaka,25,F,0,0,24
Nagabaka,32,M,0,0.75,24.25
Nagabaka,39,M,0,0,16
Nagabaka,47,M,0,0,NA
Nagabaka,59,M,0,0,32
Nagabaka,61,F,0,0.2,14.4
Nagabaka,62,F,0,0,8.333333333
Nagabaka,65,F,0,0,35.5
Nagabaka,67,M,0,0,9.2
Nagabaka,69,F,0,0,24
Nagabaka,73,M,0,0.428571429,20.85714286
Nagabaka,S14,F,0,0,3
Nagabaka,S16,M,0,0,9.666666667
Nagabaka,S24,M,0,0,NA
Nagabaka,S30,NA,0,0,12
Nagabaka,S41,M,0,0,10
Nagabaka,S43,F,0,0,8
Nagabaka,S46,F,0,0,12
Nagabaka,S53,F,0,0.5,12
Nagabaka,S9,M,0,0,12
Yatchi,Nov-17,F,0,NA,3
Yatchi,12-Nov,F,0,NA,8
Yatchi,02-May,F,0,NA,3.666666667
Yatchi,06-Mar,F,0,NA,13
Yatchi,Sep-14,M,0,NA,5.333333333
Yatchi,Sep-15,F,0,0.1,8
Yatchi,Kanjin 2-30,F,0,0,5.25
Yatchi,Kanjin 2-37,M,0,NA,5.25
Yatchi,Kanjin 7-22,M,0,0,6.4
Yatchi,Kanjin 7-23,M,0,0.4,3.6
Yatchi,Kanjin 7-31,M,0,NA,3.571428571
Yatchi,Kanjin 8-1,F,0,0,7.8
Yatchi,Yatchi 11-42,F,0,0.2,6.6
Yatchi,Nov-14,F,0.071428571,0.285714286,5.5
Nagabaka,30,F,0.090909091,0.090909091,7.454545455
Yatchi,Kanjin 2-32,M,0.090909091,1.454545455,7.272727273
Yatchi,Kanjin 1-6,M,0.1,NA,9.2
Yatchi,Kanjin 2-9,F,0.1,NA,7.6
Yatchi,7-6(2),F,0.111111111,0.888888889,7.111111111
Yatchi,Kanjin 2-18,F,0.133333333,0.133333333,6.4
Kanna,16,F,0.142857143,0.714285714,12.57142857
Nagabaka,42,F,0.142857143,0,12.14285714
Kanna,2,M,0.166666667,0,10.16666667
Kanna,30(1),F,0.166666667,0,0.666666667
Kanna,5,NA,0.166666667,0.166666667,10.33333333
Yatchi,01-Jan,F,0.166666667,0.333333333,4.333333333
Yatchi,Nov-36,F,0.166666667,0,3.75
Kanna,25,NA,0.2,0,11.6
Kanna,29,M,0.2,0.8,10.6
Kanna,57,M,0.2,1.2,13
Nagabaka,37,M,0.2,0,12.2
Nagabaka,S50,NA,0.2,0,13.2
Yatchi,Nov-29,M,0.2,NA,2.8
Yatchi,02-Feb,M,0.2,0.8,8.8
Yatchi,06-Jun,F,0.2,0,8.2
Yatchi,Kanjin 2-11,F,0.2,NA,5.6
Kanna,83,F,0.25,0,11.5
Nagabaka,45,M,0.25,0,19
Nagabaka,S3,M,0.25,0.625,18.5
Yatchi,02-May,M,0.25,0.25,2.5
Yatchi,06-Nov,M,0.272727273,NA,7
Yatchi,Aug-14,F,0.272727273,1.272727273,6.272727273
Nagabaka,28,F,0.285714286,0,12.85714286
Yatchi,Kanjin 2-14,F,0.285714286,NA,9.857142857
Yatchi,Kanjin 1-8,F,0.3,0.1,4.2
Yatchi,Kanjin 2-13,M,0.3,0.7,8.2
Kanna,10,M,0.333333333,0.666666667,5.333333333
Nagabaka,72,F,0.333333333,0,5.333333333
Yatchi,Nov-15,M,0.333333333,1,5.666666667
Yatchi,13-Sep,M,0.4,0,6.8
Yatchi,Oct-33,M,0.428571429,NA,5.857142857
Yatchi,Kanjin 2-16,F,0.428571429,0.571428571,6.857142857
Yatchi,Nov-22,M,0.461538462,0.307692308,3
Nagabaka,16,M,0.5,0,3.5
Nagabaka,36B,F,0.5,0,17
Nagabaka,46,M,0.5,0.5,24
Nagabaka,58,M,0.5,0,19
Nagabaka,S48,F,0.5,0.25,14.75
Yatchi,Nov-21,F,0.5,1.5,5.5
Yatchi,11-May,M,0.5,NA,3.9
Yatchi,13-Mar,F,0.5,0.857142857,5.214285714
Yatchi,07-Feb,M,0.5,1,7.2
Yatchi,Sep-14,M,0.5,NA,4
Yatchi,Kanjin 2-19,F,0.5,0,3.5
Yatchi,Kanjin 2-8,M,0.5,NA,3.75
Yatchi,Kanjin 2-11,M,0.555555556,NA,6.444444444
Yatchi,11-Nov,F,0.6,NA,5
Kanna,4,F,0.7,0,8.9
Yatchi,11-Mar,M,0.75,0.125,3
Kanna,31,M,1,1,8
Kanna,39,M,1,0,2
Kanna,87,M,1,0,2
Nagabaka,??,M,1,0,16
Nagabaka,41,F,1,0,4
Nagabaka,60,F,1,1,12
Yatchi,Kanjin 1-8,M,1,NA,3
Kanna,12,M,NA,0,4.666666667
Kanna,27,M,NA,0,39
Kanna,3,M,NA,NA,NA
Kanna,66,M,NA,NA,NA
Kanna,7,NA,NA,NA,NA
Nagabaka,??,M,NA,1,32
Nagabaka,49,M,NA,NA,40
Nagabaka,53,M,NA,0,39
Nagabaka,S19,NA,NA,1,22
Nagabaka,S28,M,NA,1,14.33333333
Nagabaka,S33,NA,NA,NA,NA
Nagabaka,S34,M,NA,0,10
Nagabaka,S35,NA,NA,NA,NA
Nagabaka,S37,M,NA,2,14
Nagabaka,S56,M,NA,NA,21.2
Yatchi,10-Jul,F,NA,NA,24
Yatchi,11-Nov,M,NA,NA,9
