site,burial,sex,hypoplasia.frequency,calculus.frequency,attrition.average
Kanna,1,F,0,0,5.66666666666667
Kanna,10,M,0.333333333333333,0.666666666666667,5.33333333333333
Kanna,10,F,0,0,15
Kanna,11,F,0,1,12
Kanna,12,M,1.66666666666667,0,4.66666666666667
Kanna,12,F,0,1,1.33333333333333
Kanna,12,F,0,0,6
Kanna,13,M,0,0.5,14.3333333333333
Kanna,13,M,0,0,17
Kanna,16,F,0.142857142857143,0.714285714285714,12.5714285714286
Kanna,17,M,0,0,NA
Kanna,17,NA,0,0,9.6
Kanna,18,M,0,1,20
Kanna,2,M,0.166666666666667,0,10.1666666666667
Kanna,20,F,0,0,7
Kanna,21,F,0,2,14.6
Kanna,25,F,0,0.25,10.25
Kanna,25,NA,0.2,0,11.6
Kanna,27,M,0,1,14
Kanna,28,F,0,0,11
Kanna,29,M,0.2,0.8,10.6
Kanna,30(1),F,0.166666666666667,0,0.666666666666667
Kanna,31,M,1,1,8
Kanna,36,M,0,1,14
Kanna,4,F,0.7,0,8.9
Kanna,5,F,0,0,3
Kanna,5,NA,0.166666666666667,0.166666666666667,10.3333333333333
Kanna,57,M,0.2,1.2,13
Kanna,6,F,0,1,21
Kanna,71,M,0,0,1
Kanna,74,M,0,0,3
Kanna,8,F,0,0.666666666666667,9
Kanna,81,M,0,0,19.25
Kanna,83,F,0.25,0,11.5
Kanna,No number,M,0,1,6.5
Nagabaka,??,M,NA,1,32
Nagabaka,?6,M,0,0,24
Nagabaka,15,M,0,0.333333333333333,32
Nagabaka,15B,F,0,0,14.75
Nagabaka,15C,F,0,0,26
Nagabaka,16,M,0.5,0,3.5
Nagabaka,17,F,0,0,20
Nagabaka,19,F,0,0,8
Nagabaka,21,F,0,0,20
Nagabaka,23,M,0,NA,14
Nagabaka,25,F,0,0,24
Nagabaka,28,F,0.285714285714286,0,12.8571428571429
Nagabaka,30,F,0.0909090909090909,0.0909090909090909,7.45454545454545
Nagabaka,32,M,0,0.75,24.25
Nagabaka,36B,F,0.5,0,17
Nagabaka,37,M,0.2,0,12.2
Nagabaka,39,M,0,0,16
Nagabaka,41,F,1,0,4
Nagabaka,42,F,0.142857142857143,0,12.1428571428571
Nagabaka,45,M,0.25,0,19
Nagabaka,46,M,0.5,0.5,24
Nagabaka,47,M,0,0,NA
Nagabaka,53,M,NA,0,39
Nagabaka,58,M,0.5,0,19
Nagabaka,59,M,0,0,32
Nagabaka,60,F,1,1,12
Nagabaka,61,F,0,0.2,14.4
Nagabaka,62,F,0,0,8.33333333333333
Nagabaka,65,F,0,0,35.5
Nagabaka,67,M,0,0,9.2
Nagabaka,69,F,0,0,24
Nagabaka,72,F,0.333333333333333,0,5.33333333333333
Nagabaka,73,M,0,0.428571428571429,20.8571428571429
Nagabaka,S16,M,0,0,9.66666666666667
Nagabaka,S19,NA,NA,1,22
Nagabaka,S24,M,0,0,NA
Nagabaka,S28,M,NA,1,14.3333333333333
Nagabaka,S3,M,0.25,0.625,18.5
Nagabaka,S30,NA,0,0,12
Nagabaka,S34,M,NA,0,10
Nagabaka,S35,NA,NA,NA,NA
Nagabaka,S41,M,0,0,10
Nagabaka,S43,F,0,0,8
Nagabaka,S46,F,0,0,12
Nagabaka,S48,F,0.5,0.25,14.75
Nagabaka,S50,NA,0.2,0,13.2
Nagabaka,S53,F,0,0.5,12
Nagabaka,S56,M,NA,NA,21.2
Nagabaka,S9,M,0,0,12
Yatchi,1 - 1,F,0.166666666666667,0.333333333333333,4.33333333333333
Yatchi,10-33,M,0.428571428571429,NA,5.85714285714286
Yatchi,10-7,F,NA,NA,24
Yatchi,11-11,M,NA,NA,9
Yatchi,11-11,F,0.6,NA,5
Yatchi,11-14,F,0.0714285714285714,0.285714285714286,5.5
Yatchi,11-15,M,0.333333333333333,1,5.66666666666667
Yatchi,11-17,F,0,NA,3
Yatchi,11-21,F,0.5,1.5,5.5
Yatchi,11-22,M,0.461538461538462,0.307692307692308,3
Yatchi,11-29,M,0.2,NA,2.8
Yatchi,11-3,M,0.75,0.125,3
Yatchi,11-36,F,0.166666666666667,0,3.75
Yatchi,11-5,M,0.5,NA,3.9
Yatchi,13-3,F,0.5,0.857142857142857,5.21428571428571
Yatchi,13-9,M,0.4,0,6.8
Yatchi,2-2,M,0.2,0.8,8.8
Yatchi,2-5,M,0.25,0.25,2.5
Yatchi,2-5,F,0,NA,3.66666666666667
Yatchi,6-11,M,0.272727272727273,NA,7
Yatchi,6-3,F,0,NA,13
Yatchi,6-6,F,0.2,0,8.2
Yatchi,7-6(2),F,0.111111111111111,0.888888888888889,7.11111111111111
Yatchi,7 -2,M,0.5,1,7.2
Yatchi,8-14,F,0.272727272727273,1.27272727272727,6.27272727272727
Yatchi,9-14,M,0,NA,5.33333333333333
Yatchi,9-14,M,0.5,NA,4
Yatchi,9-15,F,0,0.1,8
Yatchi,Kanjin 1-6,M,0.1,NA,9.2
Yatchi,Kanjin 1-8,M,1,NA,3
Yatchi,Kanjin 1-8,F,0.3,0.1,4.2
Yatchi,Kanjin 2-11,M,0.555555555555556,NA,6.44444444444444
Yatchi,Kanjin 2-11,F,0.2,NA,5.6
Yatchi,Kanjin 2-13,M,0.3,0.7,8.2
Yatchi,Kanjin 2-14,F,0.285714285714286,NA,9.85714285714286
Yatchi,Kanjin 2-16,F,0.428571428571429,0.571428571428571,6.85714285714286
Yatchi,Kanjin 2-18,F,0.133333333333333,0.133333333333333,6.4
Yatchi,Kanjin 2-19,F,0.5,0,3.5
Yatchi,Kanjin 2-30,F,0,0,5.25
Yatchi,Kanjin 2-32,M,0.0909090909090909,1.45454545454545,7.27272727272727
Yatchi,Kanjin 2-37,M,0,NA,5.25
Yatchi,Kanjin 2-8,M,0.5,NA,3.75
Yatchi,Kanjin 2-9,F,0.1,NA,7.6
Yatchi,Kanjin 7-22,M,0,0,6.4
Yatchi,Kanjin 7-23,M,0,0.4,3.6
Yatchi,Kanjin 7-31,M,0,NA,3.57142857142857
Yatchi,Kanjin 8-1,F,0,0,7.8
Yatchi,Yatchi 11-42,F,0,0.2,6.6
