Burial ,Sex,Cribra Total
57,M,0
76,M,6
74,M,0
79,M,0
71,M,2
73,M,2
80,M,0
84,M,0
81,M,0
85,M,1
3,M,1
73,M,0
5,M,0
1,M,1
9,M,0
13,M,6
86,M,2
19,M,0
20,M,2
22,M,2
88,M,0
87,M,0
27,M,0
69,M,0
66,M,0
8,M,0
15,M,0
17,M,2
4,M,0
2,M,0
3,M,0
37,M,1
38,M,0
36,M,2
34,M,0
31,M,1
No number,M,0
18,M,4
13,M,0
19,M,0
25,M,0
26,M,2
29,M,0
27,M,0
39,M,3
23,M,1
10,M,0
12,M,0
4,F,0
68,F,0
70,F,6
77,F,0
82,F,6
6,F,0
83,F,0
10,F,0
7,F,3
8,F,0
12,F,0
18,F,5
16,F,0
26,F,0
28,F,0
35,F,0
21,F,6
20,F,3
1,F,0
5,F,3
11,F,0
10,F,0
9,F,0
12,F,0
16,F,0
1,F,0
6,F,0
20,F,0
8,F,1
15,F,0
14,F,0
25,F,1
27,F,0
11,M?,0
17,M?,0
25,M?,0
14,M?,0
7,M?,2
25,F?,0
30,F?,0
36,?,0
