Burial Jar,Sex,Cribra Total
Kanjin 2-8,M,3
2-2,M,2
11-15,M,0
7 -2,M,1
11-29,M,0
4-21,M,0
11-3,M,0
2-5,M,4
2-10,M,3
9-14,M,0
9-8,M,0
9-14,M,3
11-36,M,3
11-22,M,1
11-42,M,6
13-9,M,4
Kanjin 2-13,M,5
10-33,M,1
6-11,M,2
6-10,M,6
3-7,M,4
Kanjin 2-11,M,4
11-5,M,6
2-30,M,3
Kanjin 2-32,M,0
Kanjin 7-23,M,1
Kanjin 7-22,M,4
Kanjin 1-6,M,6
Kanjin 7-31,M,1
Kanjin 1-8,M,4
11-11,M,2
7-6(2),F,3
11-42,F,3
Kanjin 2-30,F,0
Kanjin 2-9,F,2
Kanjin 2-16,F,2
11-5,F,1
12-11,F,0
1-3,F,4
6-3,F,0
13-3,F,2
2-28,F,0
11-36,F,2
11-11,F,0
11-21,F,0
11-17,F,2
Kanjin 1-4,F,0
11-34,F,0
9-14,F,0
10-19,F,6
10-7,F,2
6-10,F,6
7-6,F,6
7-12,F,0
Kanjin 2-11,F,6
Kanjin 2-14,F,0
Kanjin 2-20,F,2
Kanjin 2-32,F,2
Kanjin 2-30,F,6
Kanjin 2-37,F,4
11-14,F,4
2-5,F,1
8-14,F,6
Kanjin 2-18,F,1
Kanjin 2-19,F,0
Kanjin 8-1,F,0
1 - 1,F,0
Kanjin 1-8,F,2
9-15,F,0
