"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"(Intercept)",0.189009139009139,0.0605068791385699,3.12376281341961,0.00222326900014886,0.0704178350806236,0.307600442937654,"Hypoplasia"
"siteKanna",-0.122718412192097,0.0910253129030454,-1.34817896558959,0.180058397847734,-0.301124747163555,0.055687922779362,"Hypoplasia"
"siteNagabaka",-0.01388123660851,0.0874928026811655,-0.158655754337816,0.874198203439223,-0.185363978770064,0.157601505553044,"Hypoplasia"
"sexM",0.130235867192389,0.08649475326767,1.50570829180073,0.134685216621132,-0.0392907340639225,0.299762468448701,"Hypoplasia"
"siteKanna:sexM",0.0685527710699335,0.127632134302689,0.537112157878326,0.592152629999756,-0.181601615433315,0.318707157573182,"Hypoplasia"
"siteNagabaka:sexM",-0.152982817212066,0.125137303145655,-1.2225196913026,0.223829760628183,-0.398247424500021,0.0922817900758888,"Hypoplasia"
"(Intercept)",0.390160533910534,0.116714080369371,3.34287459298633,0.00113697226063156,0.161405139897855,0.618915927923213,"Calculus"
"siteKanna",0.0114685387711705,0.158409226784097,0.0723981740457674,0.942417718549412,-0.299007840544498,0.321944918086839,"Calculus"
"siteNagabaka",-0.297391938869211,0.15339235330381,-1.93876638870124,0.0551153619829211,-0.598035426848522,0.0032515491100996,"Calculus"
"sexM",0.158679262656534,0.182855821749524,0.867783487221386,0.387419376006826,-0.199711562336009,0.517070087649079,"Calculus"
"siteKanna:sexM",-0.0981871232170265,0.234125170832131,-0.419378757388829,0.67576471816233,-0.557064025922292,0.360689779488237,"Calculus"
"siteNagabaka:sexM",0.0140283327783336,0.228169853485175,0.0614819730304338,0.951087964309153,-0.433176362410391,0.461233027967057,"Calculus"
"(Intercept)",1.94139947589004,0.119144973077895,16.2944304382929,3.31335165998967e-33,1.71662880856681,2.1843844636897,"Attrition (Gamma)"
"siteKanna",0.473047509330674,0.181311462584812,2.6090325597004,0.0101438326611165,0.11962131640011,0.832240305300936,"Attrition (Gamma)"
"siteNagabaka",0.721783983820592,0.17414592322342,4.14470790048057,6.0936665363346e-05,0.380875107940301,1.06518184228939,"Attrition (Gamma)"
"sexM",-0.240098658486635,0.170242560517448,-1.41033274967706,0.160829699573679,-0.574165326022155,0.0947286724803839,"Attrition (Gamma)"
"siteKanna:sexM",0.284599283886157,0.255744515148639,1.11282653988003,0.267836462754877,-0.217838084880962,0.786031542010634,"Attrition (Gamma)"
"siteNagabaka:sexM",0.562416745026558,0.242411530813027,2.32009072811125,0.0218940513050895,0.0857405488542323,1.03710351990227,"Attrition (Gamma)"
"(Intercept)",0.427444014826938,0.331880890923427,1.28794403810842,0.197765444260241,-0.213865958518491,1.09878461092164,"Cribra Orbitalia"
"siteKanna",-1.40827326783608,0.512759660627309,-2.74645877195799,0.00602424571094888,-2.45224890247164,-0.429279569553956,"Cribra Orbitalia"
"siteNagabaka",-0.501551986980663,0.508425583651897,-0.986480623925603,0.323897318802956,-1.51202486784838,0.492220230828625,"Cribra Orbitalia"
"sexM",0.80469966646403,0.542833755141618,1.48240535678201,0.138232469495499,-0.234191272338651,1.91582724265687,"Cribra Orbitalia"
"siteKanna:sexM",-0.300794485545197,0.733133235212807,-0.410286249617213,0.681595977648086,-1.75499050136849,1.1349779126051,"Cribra Orbitalia"
"siteNagabaka:sexM",-1.216099510092,0.737551129459018,-1.64883417775252,0.099181610946347,-2.68954098789001,0.214662435395123,"Cribra Orbitalia"
